date,SUUR0000SAH
2004-01,112.5
2004-02,112.8
2004-03,113.4
2004-04,113.6
2004-05,113.9
2004-06,114.6
2004-07,115.0
2004-08,115.2
2004-09,115.2
2004-10,115.1
2004-11,115.0
2004-12,115.1
2005-01,115.6
2005-02,116.0
2005-03,116.5
2005-04,116.8
2005-05,117.0
2005-06,117.6
2005-07,118.1
2005-08,118.1
2005-09,118.1
2005-10,118.5
2005-11,118.6
2005-12,118.6
2006-01,119.6
2006-02,119.7
2006-03,120.1
2006-04,120.2
2006-05,120.5
2006-06,121.5
2006-07,122.0
2006-08,122.3
2006-09,122.2
2006-10,121.8
2006-11,121.8
2006-12,122.1
2007-01,122.767
2007-02,123.339
2007-03,123.817
2007-04,124.077
2007-05,124.215
2007-06,125.074
2007-07,125.416
2007-08,125.399
2007-09,125.255
2007-10,125.18
2007-11,125.183
2007-12,125.272
2008-01,125.966
2008-02,126.434
2008-03,127.28
2008-04,127.644
2008-05,128.164
2008-06,129.269
2008-07,130.131
2008-08,129.985
2008-09,129.584
2008-10,129.189
2008-11,128.667
2008-12,128.495
2009-01,128.891
2009-02,128.916
2009-03,128.896
2009-04,128.643
2009-05,128.543
2009-06,129.147
2009-07,129.154
2009-08,129.001
2009-09,128.629
2009-10,128.337
2009-11,127.966
2009-12,127.826
2010-01,128.134
2010-02,128.058
2010-03,128.122
2010-04,127.966
2010-05,128.042
2010-06,128.522
2010-07,128.726
2010-08,128.629
2010-09,128.428
2010-10,128.132
2010-11,127.974
2010-12,128.18
2011-01,128.54
2011-02,128.867
2011-03,129.103
2011-04,129.198
2011-05,129.52
2011-06,130.162
2011-07,130.638
2011-08,130.721
2011-09,130.773
2011-10,130.567
2011-11,130.485
2011-12,130.597
2012-01,130.944
2012-02,131.026
2012-03,131.235
2012-04,131.392
2012-05,131.569
2012-06,132.227
2012-07,132.324
2012-08,132.424
2012-09,132.54
2012-10,132.444
2012-11,132.48
2012-12,132.617
2013-01,133.036
2013-02,133.383
2013-03,133.52
2013-04,133.724
2013-05,134.25
2013-06,134.9
2013-07,135.108
2013-08,135.185
2013-09,135.288
2013-10,135.048
2013-11,135.104
2013-12,135.374
2014-01,136.203
2014-02,136.634
2014-03,137.284
2014-04,137.122
2014-05,137.738
2014-06,138.413
2014-07,138.772
2014-08,138.81
2014-09,138.849
2014-10,138.746
2014-11,138.63
2014-12,138.762
2015-01,139.2
2015-02,139.405
2015-03,139.604
2015-04,139.779
2015-05,140.011
2015-06,140.761
2015-07,141.123
2015-08,141.177
2015-09,141.377
2015-10,141.214
2015-11,141.124
2015-12,141.157
2016-01,141.661
2016-02,141.936
2016-03,142.22
2016-04,142.419
2016-05,142.966
2016-06,143.827
2016-07,144.134
2016-08,144.333
2016-09,144.663
2016-10,144.757
2016-11,144.719
2016-12,145.039
2017-01,145.784
2017-02,146.182
2017-03,146.338
2017-04,146.581
2017-05,147.076
2017-06,147.763
2017-07,147.796
2017-08,148.229
2017-09,148.451
2017-10,148.571
2017-11,148.591
2017-12,148.926
2018-01,149.519
2018-02,149.995
2018-03,150.363
2018-04,150.674
2018-05,151.153
2018-06,151.579
2018-07,151.887
2018-08,152.119
2018-09,152.181
2018-10,152.329
2018-11,152.426
2018-12,152.799
2019-01,153.374
2019-02,153.785
2019-03,154.284
2019-04,154.579
2019-05,154.99
2019-06,155.699
2019-07,156.055
2019-08,156.085
2019-09,156.415
2019-10,156.324
2019-11,156.371
2019-12,156.562
2020-01,157.285
2020-02,157.666
2020-03,157.63
2020-04,157.715
2020-05,158.086
2020-06,158.643
2020-07,158.945
2020-08,159.188
2020-09,159.344
2020-10,159.373
2020-11,159.52
2020-12,159.735
2021-01,160.105
2021-02,160.504
2021-03,160.937
2021-04,161.602
2021-05,162.45
2021-06,163.45
2021-07,164.294
2021-08,164.603
2021-09,165.411
2021-10,166.219
2021-11,166.774
2021-12,167.455
2022-01,168.746
2022-02,169.646
2022-03,170.839
2022-04,171.8
2022-05,173.209
2022-06,174.86
2022-07,175.724
2022-08,176.968
2022-09,178.132
2022-10,178.952
2022-11,179.484
2022-12,180.671
2023-01,182.351
2023-02,183.425
2023-03,184.059
